Model,Scenario,Region,Variable,Unit,2015.0
MESSAGEix,none,Manitoba,eth_imp,Gwa,0.037188016199009334
MESSAGEix,none,Manitoba,foil_exp,Gwa,0.07267594166300408
MESSAGEix,none,Manitoba,foil_fs,Gwa,0.04960748152550807
MESSAGEix,none,Manitoba,foil_i,Gwa,0.011515565403141354
MESSAGEix,none,Manitoba,foil_imp,Gwa,0.040976940148994244
MESSAGEix,none,Manitoba,foil_ppl,Gwa,0.00383894012442929
MESSAGEix,none,Manitoba,foil_rc,Gwa,0.006337617562805791
MESSAGEix,none,Manitoba,foil_t_d,Gwa,0.07798271087560846
MESSAGEix,none,Manitoba,foil_trp,Gwa,0.0
MESSAGEix,none,Manitoba,gas_cc,Gwa,0.132
MESSAGEix,none,Manitoba,gas_ct,Gwa,0.2676
MESSAGEix,none,Manitoba,gas_exp,Gwa,0.20208579313442307
MESSAGEix,none,Manitoba,gas_extr_1,Gwa,0.2063631585731253
MESSAGEix,none,Manitoba,gas_extr_2,Gwa,0.3622696406693925
MESSAGEix,none,Manitoba,gas_extr_mpen,Gwa,0.5686327992425158
MESSAGEix,none,Manitoba,gas_fs,Gwa,0.013247670947116513
MESSAGEix,none,Manitoba,gas_i,Gwa,0.046526213027071404
MESSAGEix,none,Manitoba,gas_imp,Gwa,0.06765122881232437
MESSAGEix,none,Manitoba,gas_ppl,Gwa,0.020890410958904
MESSAGEix,none,Manitoba,gas_rc,Gwa,1.1661216315562652
MESSAGEix,none,Manitoba,gas_t_d,Gwa,0.17773275626376273
MESSAGEix,none,Manitoba,gas_trp,Gwa,0.0
MESSAGEix,none,Manitoba,heat_i,Gwa,0.026319086649845995
MESSAGEix,none,Manitoba,heat_rc,Gwa,0.0013651795568997425
MESSAGEix,none,Manitoba,heat_t_d,Gwa,0.027684266206745738
MESSAGEix,none,Manitoba,hydro_lc,Gwa,3.96967351598173
MESSAGEix,none,Manitoba,land_use_biomass,Gwa,0.3772371104978061
MESSAGEix,none,Manitoba,landfill_ele,Gwa,0.0009943495330303413
MESSAGEix,none,Manitoba,loil_exp,Gwa,0.703636562324205
MESSAGEix,none,Manitoba,loil_fs,Gwa,0.16224820518546582
MESSAGEix,none,Manitoba,loil_i,Gwa,0.04262902969326262
MESSAGEix,none,Manitoba,loil_imp,Gwa,0.12433760295756369
MESSAGEix,none,Manitoba,loil_ppl,Gwa,0.00108114578767125
MESSAGEix,none,Manitoba,loil_rc,Gwa,0.10385979840627038
MESSAGEix,none,Manitoba,loil_t_d,Gwa,0.9726229862040148
MESSAGEix,none,Manitoba,loil_trp,Gwa,2.47463218621005
MESSAGEix,none,Manitoba,nuc_lc,Gwa,0.0
MESSAGEix,none,Manitoba,oil_exp,Gwa,1.75668890110875
MESSAGEix,none,Manitoba,oil_extr_1,Gwa,0.18363558149911358
MESSAGEix,none,Manitoba,oil_extr_2,Gwa,1.2126878023526364
MESSAGEix,none,Manitoba,oil_extr_3,Gwa,0.36615700981184307
MESSAGEix,none,Manitoba,oil_extr_4,Gwa,1.2275047209587475
MESSAGEix,none,Manitoba,oil_extr_mpen,Gwa,2.9899851146223457
MESSAGEix,none,Manitoba,oil_imp,Gwa,0.5877008686949357
MESSAGEix,none,Manitoba,ref_hil,Gwa,0.4202127689949476
MESSAGEix,none,Manitoba,ref_lol,Gwa,2.665125846414742
MESSAGEix,none,Manitoba,solar_pv_ppl,Gwa,0.0
MESSAGEix,none,Manitoba,solar_rc,Gwa,0.001831178347956866
MESSAGEix,none,Manitoba,sp_el_I,Gwa,0.754375957328767
MESSAGEix,none,Manitoba,sp_el_RC,Gwa,1.71201168289954
MESSAGEix,none,Manitoba,wind_ppl,Gwa,0.098173515981735
