,node_loc,technology,year_vtg,value,unit
166,Nunavut,foil_ppl,2015,0.037650458948,GW
167,Nunavut,foil_t_d,2015,0.029513194712997872,GW
168,Nunavut,gas_cc,2015,0.0,GW
169,Nunavut,gas_ct,2015,0.0,GW
170,Nunavut,gas_exp,2015,0.0,GW
171,Nunavut,gas_ppl,2015,0.0,GW
172,Nunavut,gas_t_d,2015,0.0,GW
173,Nunavut,heat_t_d,2015,0.0,GW
174,Nunavut,hydro_lc,2015,0.0,GW
175,Nunavut,loil_ppl,2015,0.016629541052,GW
176,Nunavut,loil_t_d,2015,0.2576922771498325,GW
177,Nunavut,nuc_lc,2015,0.0,GW
178,Nunavut,solar_pv_ppl,2015,3.3e-05,GW
179,Nunavut,wind_ppl,2015,0.0,GW
180,Ontario,bio_ppl,2015,0.574,GW
181,Ontario,biomass_t_d,2015,0.7560311337291531,GW
182,Ontario,coal_ppl,2015,0.0,GW
183,Ontario,coal_t_d,2015,0.0,GW
184,Ontario,elec_exp,2015,2.24212328767123,GW
185,Ontario,elec_t_d,2015,2.2696962138827055,GW
186,Ontario,foil_ppl,2015,0.173720660345,GW
187,Ontario,foil_t_d,2015,0.13617501134617385,GW
188,Ontario,gas_cc,2015,2.390469,GW
189,Ontario,gas_ct,2015,5.12991,GW
190,Ontario,gas_exp,2015,10.171714712003842,GW
191,Ontario,gas_ppl,2015,9.64806,GW
192,Ontario,gas_t_d,2015,9.081608977986765,GW
193,Ontario,heat_t_d,2015,0.05312650567533204,GW
194,Ontario,hydro_lc,2015,8.768,GW
195,Ontario,loil_ppl,2015,0.076729339655,GW
196,Ontario,loil_t_d,2015,1.1890020414918119,GW
197,Ontario,nuc_lc,2015,13.568,GW
198,Ontario,solar_pv_ppl,2015,2.119,GW
199,Ontario,wind_ppl,2015,4.374,GW
200,PrinceEdwardIsland,bio_ppl,2015,0.0021,GW
201,PrinceEdwardIsland,biomass_t_d,2015,0.0027659675624237307,GW
202,PrinceEdwardIsland,coal_ppl,2015,0.0,GW
203,PrinceEdwardIsland,coal_t_d,2015,0.0,GW
204,PrinceEdwardIsland,elec_exp,2015,0.0,GW
